[326788][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.0683617815375328, 'lighthouse.angle1y_3': -0.4462125897407532} 
[326798][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.0680181160569191, 'lighthouse.angle1y_3': -0.4464055001735687} 
[326808][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.0680181160569191, 'lighthouse.angle1y_3': -0.4464055001735687} 
[326818][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06775935739278793, 'lighthouse.angle1y_3': -0.44689062237739563} 
[326828][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06775935739278793, 'lighthouse.angle1y_3': -0.44689062237739563} 
[326838][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.0675610899925232, 'lighthouse.angle1y_3': -0.44698643684387207} 
[326848][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.0675610899925232, 'lighthouse.angle1y_3': -0.44698643684387207} 
[326858][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06736927479505539, 'lighthouse.angle1y_3': -0.44709283113479614} 
[326868][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06736927479505539, 'lighthouse.angle1y_3': -0.44709283113479614} 
[326878][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06724415719509125, 'lighthouse.angle1y_3': -0.4469800889492035} 
